Item,Description,Quantity,Unit Price ($),Total Price ($),URL
Jsumo XMotion,All In One Controller V3,1,44.95,44.95,https://www.jsumo.com/xmotion-robot-controller
Jsumo Katana Blade,10cm Mini Sumo Blade,2,4.95,9.90,https://www.jsumo.com/mini-katana-blade-for-mini-sumo-robot-10cm
Jsumo JS40F,Digital Distance Sensor,4,12.50,50.00,https://www.jsumo.com/js40f-digital-infrared-ir-distance-sensor-min-40-cm-range
Jsumo JS2622S,Steel-Silicone Wheel Pair,2,14.50,29.00,https://www.jsumo.com/js2622-steel-silicone-wheel-pair-26mm-diameter
050 Motor,Generic DC Motor,4,5.00,20.00,https://www.aliexpress.com/item/1005008126068612.html
QRE1113 IR Sensor,Infrared Reflection Sensor,2,Depending on Region,0.00,https://www.aliexpress.com/item/1005005682098178.html
AliExpress Shipping,Shipping for Motors/Sensors,1,15.00,15.00,
Jsumo Shipping,International Shipping Fee,1,46.95,46.95,
Import Tax,23% Import Duty (Jsumo Only),1,41.58,41.58,
LiPo Battery,Locally Sourced Battery,1,20.00,20.00,
FINAL TOTAL,,,277.38,,
